names,scores,logfoldchanges,pvals,pvals_adj,minus_log10_padj,direction
SPAG16,16.922195,1.6363695,3.0870374966303855e-64,4.2594881014112187e-63,62.37064259058991,High-up
SRSF7,16.819147,1.5343751,1.7668140108168075e-63,2.413467938775759e-62,61.61735846610373,High-up
HSBP1,16.809647,1.0871335,2.0740261428159063e-63,2.819024588145799e-62,61.549901136100914,High-up
AKT1S1,16.795597,1.4908602,2.6285003656360484e-63,3.5549816826325167e-62,61.449162632670394,High-up
CTSA,16.761,1.2125933,4.7064308575015964e-63,6.333974927435646e-62,61.19832366008281,High-up
SDF4,16.740204,1.20517,6.676010388095274e-63,8.940617833468768e-62,61.04863246863194,High-up
NTS,16.720625,2.8802693,9.274024232922698e-63,1.2359333758216981e-61,60.908004939678314,High-up
SFPQ,16.530067,1.0985616,2.2289186711728932e-61,2.9135912964805476e-60,59.535571368877584,High-up
PARVB,16.511568,2.0051646,3.0290682459511783e-61,3.940673546637438e-60,59.404429541477036,High-up
POLR2H,16.419922,1.1505839,1.3774387601915205e-60,1.7834894278877888e-59,58.74872946071509,High-up
STK25,16.295862,1.570003,1.056030365486565e-59,1.360884414391177e-58,57.86617875967823,High-up
SH3BGRL3,16.275366,1.5715885,1.4763475488653351e-59,1.8936063396714066e-58,57.722710301086735,High-up
PTP4A3,16.256348,3.1354167,2.0139084142231567e-59,2.5590687384454252e-58,57.591918048490854,High-up
NR0B1,16.243614,4.432483,2.4788234827276527e-59,3.120804495305045e-58,57.50573343712437,High-up
TEAD2,16.241236,3.050038,2.5768257961937255e-59,3.229306456514338e-58,57.49089073910864,High-up
RNASE1,16.236462,2.803037,2.785295904235579e-59,3.474624844918539e-58,57.459092079297484,High-up
S100A11,16.11612,1.6188846,1.9657453826882393e-58,2.4410983570473954e-57,56.61241472158143,High-up
ZNF207,16.044556,1.0910579,6.2404040224020175e-58,7.679632337478519e-57,56.114659571326094,High-up
UBAP2L,16.041395,1.5474441,6.566230261908954e-58,8.044368195307293e-57,56.09450805971494,High-up
HMG20B,15.839355,1.3814774,1.6651895323371163e-56,2.0219101343755565e-55,54.69423815092707,High-up
CKAP5,15.781118,2.0183423,4.196873493327984e-56,5.073388665385863e-55,54.29470186570021,High-up
RNF7,15.722885,1.0349405,1.0541274830056818e-55,1.2686679663310673e-54,53.896652025863155,High-up
CDK16,15.714749,1.7693844,1.198544969835381e-55,1.4361512533290618e-54,53.842799818431494,High-up
PTTG1,15.670502,1.9755617,2.4067110802467354e-55,2.8712378477004723e-54,53.541930829911955,High-up
ARL2,15.572401,1.2974969,1.12118077344985e-54,1.3317677708978218e-53,52.875571499347814,High-up
CPSF6,15.496564,1.337397,3.6594734869565745e-54,4.30934550274369e-53,52.36558868485808,High-up
RPL22,15.420289,1.12928,1.195684511564791e-53,1.4019785775085876e-52,51.853258622418494,High-up
PSMD2,15.417911,1.0465866,1.2405349071173297e-53,1.4483510112156173e-52,51.839126173111126,High-up
BIRC5,15.40608,2.2586248,1.4897929035642286e-53,1.731963494696797e-52,51.76146126602469,High-up
HES1,15.395088,1.1665212,1.7658409186064037e-53,2.0441853345901248e-52,51.68947973175606,High-up
BUD31,15.3335285,0.9729383,4.5650146662246345e-53,5.24017649921248e-52,51.28065408489736,High-up
CDC34,15.316597,1.3547665,5.923894973479492e-53,6.771582036630115e-52,51.16930985575906,High-up
MRPL28,15.201808,1.0552117,3.439962966802236e-52,3.89957627605963e-51,50.408982580400824,High-up
OLFML3,15.146256,3.8928704,8.020698395720106e-52,9.054771907895591e-51,50.043122485205245,High-up
